url,email_body,label,category,evasion_technique
https://admin.o365-verify-update.com/auth,"Subject: URGENT: Final Notice Before Account Deletion

Your account has been flagged for violation of our terms. You have 24 hours to review the violations and appeal. Click the link to review.",1,Authority/Urgency manipulation,Threat of account deletion combined with a plausible-looking admin domain.
https://paypal-resolution-center.net/case/88123,"Subject: Resolution Center: Unauthorized Login Attempt

We detected a login from a new device in Russia. If this wasn't you, please secure your account immediately by logging in.",1,Authority/Urgency manipulation,Fear-inducing geolocation alert with a fake resolution center URL.
https://irs-tax-refund-portal.gov.us-auth.com,"Subject: IRS Notice: Your Tax Refund is Pending

Your recent tax return has been processed. However, we need additional verification to release your funds. Please complete the form within 48 hours.",1,Authority/Urgency manipulation,Authority impersonation (IRS) using a complex subdomain structure to hide the true domain.
https://aws-billing-update.amazon-aws-secure.com,"Subject: Action Required: AWS Account Suspension Notice

Your AWS payment method has expired. All running EC2 instances will be terminated in 12 hours unless you update your billing details.",1,Authority/Urgency manipulation,Targeting developers/admins with high-stakes infrastructure threats.
https://appleid.apple.com-recovery-session.xyz,"Subject: Your Apple ID was used to sign in to iCloud via a web browser

Your Apple ID was used to sign in to iCloud on a Windows PC. If you did not sign in, you should change your password immediately.",1,Authority/Urgency manipulation,Exact copy of legitimate Apple alert but with a deceiving subdomain.
https://secure.chase-banking-alert.com/login,"Subject: Security Alert: Temporary Hold on Your Chase Account

We have placed a temporary hold on your account due to suspicious transactions. Please verify your recent activity to lift the hold.",1,Authority/Urgency manipulation,Banking impersonation creating urgency to clear a hold.
https://workspace.google.com-admin-review.net,"Subject: Google Workspace: Domain Suspension Alert

Your Google Workspace domain registration is missing payment. Services will be disrupted tomorrow. Update payment info now.",1,Authority/Urgency manipulation,Targeting business owners with domain suspension threats.
https://netflix-membership-renew.com,"Subject: Payment Declined: Your Netflix Membership is on hold

We couldn't process your last payment. Update your payment method to continue enjoying your favorite shows.",1,Authority/Urgency manipulation,Common consumer service urgency hook.
https://hr-portal-docusign.com/document/view,"Subject: MANDATORY: Updated Employee Code of Conduct (Signature Required)

All employees must sign the updated 2025 Code of Conduct by end of day. Failure to do so will result in HR action.",1,Authority/Urgency manipulation,Internal HR impersonation creating employment-related urgency.
https://zoom-meeting-invite.com/j/88312,"Subject: Missed Zoom Meeting: Urgent Project Update

You missed a critical project sync. The recording and action items are available here. Please review immediately.",1,Authority/Urgency manipulation,Exploiting FOMO and professional urgency regarding missed meetings.
